10-minutes-till-dawn	flanne
1010-color-match	PotatoJam
11-11	DigixArt
12-minibattles	Shared Dreams
18-wheeler-cargo-simulator	Vitality Games
18-wheeler-cargo-simulator-2	Vitality Games
18-wheeler-driving-sim	Vitality Games
18-wheeler-truck-parking	Vitality Games
18-wheeler-truck-parking-2	Vitality Games
1v1-lol	JustPlay.LOL
2048	Gabriele Cirulli
2048-cupcakes	Gabriele Cirulli
2048-fusion	0x0800 (GitHub)
2048-multitask	0x0800 (GitHub)
3-pandas-in-japan	flashygames
3d-arena-racing	Vitality Games
3d-bowling	Italic Games
3d-car-simulator	Faramel Games
3d-free-kick	Famobi
3d-moto-simulator-2	Faramel Games
4th-and-goal-2022	Glowmonkey
4wd-off-road-driving-sim	Vitality Games
4x4-drive-offroad	Vitality Games
8-ball-pool	Miniclip
99-balls	BuyHTML5
a-dance-of-fire-and-ice	7th Beat Games
a-pretty-odd-bunny	AJB Games
a-small-world-cup	ragdoll
achievement-unlocked	Flash game
adam-and-eve-5-part-2	Agame
adam-and-eve-5-part-one	Agame
adam-and-eve-6	Agame
adam-and-eve-7	Agame
adventure-drivers	Spil Games
agar-io	Matheus Valadares
agarpaper-io	Electronify
age-of-war	Louissi
air-hockey-championship-deluxe	Akos Makovics
alien-hominid	The Behemoth
amazing-rope-vice-spider-vegas	HGames Artur
amidst-the-sky	Striking Distance Studios
amogus-io	Agame
among-us	Innersloth
angry-birds	Rovio Entertainment
angry-gran-run	Ace Viral
ape-sling	MyGamez
apple-shooter	Wolf Games
apple-worm	Gibon Games
aqua-thrills	Casette Games
aquapark-io	Cassette Games
arcane-archer	ToyBox Games Studios
archery-world-tour	Happylander
arithmetica	Arithmetica (Independent)
arras-io	Neph
aspiring-artist	Reframe Games
athletics-hero	b10b
awesome-tanks	Alexander Gette
awesome-tanks-2	Alexander Gette
axis-football-league	Axis Games
b-cubed	Coolmath Games
backflipper	MotionVolt Games Ltd.
backrooms	Fancy Games
backrooms-2d	JujuProdGames
bacon-may-die	SnoutUp Games
bad-egg-io	Blue Wizard Digital
bad-ice-cream	Nitrome
bad-ice-cream-2	Nitrome
bad-ice-cream-3	Nitrome
baldis-basics	Micah McGonigal (Mystman12)
baldis-basics-field-trip	Micah McGonigal (Mystman12)
ball-sort-halloween	Albayoo
ball-sort-soccer	Albayoo
ballistic	Epic Games
basket-and-ball	Metin Kaplan
basket-battle	Supersonic Studios
basket-bros-io	Blue Wizard Digital
basket-champs	RavalMatic
basket-monsterz	MarketJS
basket-random	Bilge Kaan
basket-slam-dunk-2	Ixel Games
